username,display_name,bio,tags,is_active,created_at,location,profile_image_url
tax_gyaan,Tax Gyaan,Taxation and financial advice content,"{finance, taxes}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/128.jpg
fame_money,FameMoney,Celebrity insights into wealth,"{finance, wealth}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/129.jpg
powerdrift,PowerDrift,Popular automobile review portal,"{automotive, reviews}",t,2025-05-31 17:47:00,"Pune, India",https://randomuser.me/api/portraits/men/93.jpg
autocarindia,Autocar India,Automotive magazine and YouTube channel,"{automotive, cars}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/94.jpg
zaidkhan,Zaid Khan,Automotive and travel vlogger,"{automotive, travel}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/95.jpg
autozeen,Autozeen,Car news and reviews portal,"{automotive, news}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/96.jpg
bike_deals,BikeDeals,Motorcycle review and community channel,"{automotive, motorcycles}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/97.jpg
mommasmemoir,Momma’s Memoir,Parenting blog and advice,"{parenting, family}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/94.jpg
the_pixie_project,Ayesha,Creative activities for kids,"{parenting, kids, DIY}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/95.jpg
momlife,Sherin,Lifestyle and parenting influencer,"{parenting, lifestyle, kids}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/96.jpg
parenting_unplugged,Richa Kumar,Parenting tips and family stories,"{parenting, family}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/97.jpg
family_focus,Priya Desai,Motherhood and family blogger,"{parenting, family, kids}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/98.jpg
bhuvanbam,Bhuvan Bam,Comedian and creator (BB Ki Vines),"{entertainment, comedy, music}",t,2025-05-31 17:47:00,"Delhi, India",https://randomuser.me/api/portraits/men/99.jpg
ashishchanchlani,Ashish Chanchlani,YouTube comedian and sketch artist,"{entertainment, comedy}",t,2025-05-31 17:47:00,"Mumbai, India",https://randomuser.me/api/portraits/men/100.jpg
tanmaybhat,Tanmay Bhat,Comedian and co-founder of AIB,"{entertainment, comedy}",t,2025-05-31 17:47:00,"Mumbai, India",https://randomuser.me/api/portraits/men/101.jpg
allaiswell,All India Bakchod,Comedy collective and content creators,"{entertainment, comedy}",t,2025-05-31 17:47:00,"Mumbai, India",https://randomuser.me/api/portraits/men/102.jpg
sejalbhat,Sejal Bhat,Lifestyle and comedy vlogger,"{entertainment, lifestyle}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/102.jpg
parmishver,Parmish Verma,Actor and singer posting lifestyle content,"{entertainment, music}",t,2025-05-31 17:47:00,"Mumbai, India",https://randomuser.me/api/portraits/men/130.jpg
viralbhayani,Viral Bhayani,Celebrity photographer and gossip influencer,"{entertainment, photography}",t,2025-05-31 17:47:00,"Mumbai, India",https://randomuser.me/api/portraits/men/131.jpg
mrbrainwash,Kirill,Music and entertainment vlogger,"{entertainment, music}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/132.jpg
houseoffilm,House of Film,Movie review and entertainment news,"{entertainment, film}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/133.jpg
thecomedyfactory,The Comedy Factory,YouTube comedy channel,"{entertainment, comedy}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/134.jpg
gamer_dad,Dhar Mann,Lifestyle and motivational video creator,"{gaming, storytelling}",t,2025-05-31 17:47:00,USA,https://randomuser.me/api/portraits/men/103.jpg
tonnicraft,Tonicraft,Gaming influencer streaming mobile games,"{gaming, entertainment}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/104.jpg
mw2_in,MW2_IN,Call of Duty Warzone professional player,"{gaming, esports}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/105.jpg
anxiouslycool,Ankush,YouTube gaming content creator,"{gaming, reviews}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/106.jpg
thecitygirl,TheCityGirlGamer,Female gaming streamer and lifestyle vlogger,"{gaming, lifestyle}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/103.jpg
mr8bit,8bit Thug,Retro gaming streamer,"{gaming, retro}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/107.jpg
rocketvspatidar,RocketVSPatidar,Gaming commentator,"{gaming, comedy}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/108.jpg
carryminati,CarryMinati,Popular gaming and comedic content creator,"{gaming, entertainment}",t,2025-05-31 17:47:00,"Faridabad, India",https://randomuser.me/api/portraits/men/109.jpg
desi_gamerz,Desi Gamerz,Gaming channel by Indian streamer,"{gaming, entertainment}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/110.jpg
saim_in,Despacito Slayer,Warzone player and streamer,"{gaming, esports}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/111.jpg
